UT,Ack_text,Funders,Funders_Text,row_id
WOS:000331002000008,"For helpful feedback on earlier drafts of this essay, I would like to thank Selim Berker, Richmond Campbell, Stewart Cohen, Juan Comesana, Ian Evans, Terry Horgan, Michael Hymers, Uriah Kriegel, Farid Masrour, Shaun Nichols, Mark Timmons, Jonathan Weinberg, and two anonymous referees for this journal. I would also like to thank audiences at The University of Arizona, Harvard University, and the Canadian Philosophical Association 2010 Congress. Work on the essay was supported by a fellowship from the Social Sciences and Humanities Research Council of Canada.",,,4230
WOS:000331002000009,"The author gratefully acknowledges the assistance of David Braddon-Mitchell, Mark Colyvan, Arnon Levy, Maureen O’Malley and three anonymous referees of this journal. The author is also indebted to audiences at the 2012 Australasian Association of Philosophy Conference where he received many constructive comments on an earlier draft of this paper. This research was supported under the Australian Research Council’s Discovery Projects funding scheme (project number DP120102871) and by a John Templeton Foundation grant held by Huw Price, Alex Holcombe, Kristie Miller, and Dean Rickles, entitled: New Agendas for the Study of Time: Connecting the Disciplines.",,,4231
WOS:000331002000010,"Between 2012 and 2013 parts of this paper were presented at the Philosophy Club at the University of St. Andrews, at the Fifth Philosophy of Information Workshop at the University of Hertfordshire, and at the Ontology Workshop at the University of Milan-San Raffaele. We are grateful to the many persons who provided helpful comments and feedback in those occasions, and to two anonymous referees of this journal.",,,4232
WOS:000331002000011,"The authors are indebted to Tero Tulenheimo for his valuable input during the initial stages of writing, to two anonymous referees for crucial remarks and to Gareth Wilson and Cheryl Lobb de Rahman for linguistic and stylistic corrections.",,,4233
WOS:000331002000012,0,,,4234
WOS:000331002000013,"We would like to express our gratitude to Claudio Calosi, Elena Casetta, Giuseppe Feola, Laura Franklin-Hall, Daniele Fulvi, Giorgio Lando, Patrizia Pedrini, Matthew Slater, Neil Williams, and, especially, to Achille Varzi and Sebastian Watzl, for constructive comments on various versions of this essay. Earlier drafts were delivered at the Conference of the Italian Society for Analytic Philosophy (SIFA) in Padua, at the International Congress of the Italian Society for Logic and Philosophy of Science (SILFS) in Bergamo, at the Conference for Metaphysics and Philosophy of Science hosted by the University of Toronto, and at the Department of Philosophy at the College of the Holy Cross. The audiences at all these venues provided excellent feedback. We are also grateful to two anonymous reviewers for helpful suggestions. In developing some of the ideas discussed in this article, M. J. Nathan benefited from a visiting position at the Laboratory for Stem Cell Biology and Pharmacology of Neurodegenerative Diseases at the University of Milan: many thanks to Elena Cattaneo and her research team for their support.",,,4235
WOS:000331002000014,"I wish to thank John McDowell in particular for supportive discussions, and two anonymous referees for Synthese for helpful comments. I also wish to thank the Despoina-Stiftung for special support, and the Fundamental Research Funds for the Central Universities (a Chinese funding agency) for financial support.",,,4236
WOS:000331002000015,"For helpful comments on previous drafts and closely related material I am indebted to John Collins, Hilary Kornblith, Jennifer Nagel, David Papineau, Finn Spicer, two anonymous referees for this journal, and audiences in Belfast, Bielefeld, Graz, and London.",,,4237
WOS:000331002000016,"Thanks to two anonymous referees for this journal for helpful feedback on an earlier version of this paper. Thanks also to Michael Blome-Tillmann, Jessica Brown, Matthew Chrisman, John Greco, Patrick Greenough, Michael Hannon, Allan Hazlett, Torfinn Huvenes, Dirk Kindermann, Sebastian Kohler, Jared Peterson, Duncan Pritchard, Amy Seymour, audiences at the Arché Epistemology Seminar, the 2012 European Epistemology Network Meeting in Bologna, the 2011 Notre Dame/Northwestern Graduate Epistemology Conference and the 2011 Edinburgh Graduate Epistemology Conference. The research for this paper was funded by the Carnegie Trust.",,,4238
WOS:000331002000003,"
Acknowledgments The tests used in this study have been developed by the first author in collaboration with Tom Roeper, Jill and Peter de Villiers and Kate Hobbs. We thank the children and teachers of the Annie M.G. Schmidt School and the Joseph Haydn School in Groningen for their hospitality. This paper has benefited from the comments of three anonymous reviewers and the audience of the TARK 2011 workshop (University of Groningen), and the audience at the 2012 workshop Language Development in Childhood and Adolescence (University of Leiden). We also thank two anonymous reviewers of Synthese for their detailed and constructive comments. We gratefully acknowledge ESF (grant no. 028395, PI M. Krifka and U. Sauerland) and NWO (grant no. 277-70-005, PI P. Hendriks).
",,,4239
WOS:000331002000004,"This research was supported by the Netherlands Organisation for Scientific Research, through TopTalent grant 021.001.089, Open Access grant 036.002.118 and Vici grant 277-80-001.",,,4240
WOS:000334254400002,"Hans van Ditmarsch is also affiliated to IMSc, Chennai, as associated researcher. I thank the anonymous reviewers of the journal Synthese for their comments, and for their persistence. I gratefully acknowledge comments from Alexandru Baltag, Jan van Eijck, Patrick Girard, Barteld Kooi, Fenrong Liu, Emiliano Lorini, Yoram Moses, Eric Pacuit, Rohit Parikh, Ramanujam, Hans Rott, Sonja Smets, Rineke Verbrugge, and Yanjing Wang. As my work on lying has a long history (from 2008 onward), I am concerned I may have forgotten to credit yet others, for which my apologies. As the editor of the special issue in which this contribution appears, Rineke had many valuable comments in addition to those by the reviewers, and was as always extremely encouraging. Emiliano spared me the embarrassment of including unsound axioms (and an incorrect action model) in the axiomatization of agent announcement logic, for which infinite thanks.",,,4241
WOS:000334254400003,"Earlier versions of this paper were presented at the annual conferences of the Scots Philosophical Club (2007) and the British Society for Ethical Theory (2008), and at a workshop on Reasons and Rational Choice at the London School of Economics (2011). I would like to thank the audiences for their helpful comments, and especially Mike Ridge and Guy Fletcher.",,,4242
WOS:000334254400004,0,,,4243
WOS:000334254400005,0,,,4244
WOS:000334254400006,"I would like to thank Ruth Kempson, Shalom Lappin, Gail Leckie, Wilfried Meyer-Viol, Peter Ridley, Peter Sutton and Mark Textor for interesting and helpful discussions. The comments of an anonymous referee of this journal were also very helpful. My research work on this paper was founded by the Alexander-von-Humboldt-Foundation.",,,4245
WOS:000334254400007,0,,,4246
WOS:000334254400008,"Thanks to Einar Duenger Bohn, the audience at the 2012 Arché/CSMN Graduate Conference at the University of Oslo, and three anonymous referees for helpful comments on earlier drafts of this paper.",,,4247
WOS:000334254400009,"For their comments and discussion I would like to thank J. Schaffer, A. Varzi, M. Morganti, C. Hoefer, M. Dorato, V. Fano, G. Torrengo, J. Diez, A. Sole and D. Dieks. I am especially grateful to two anonymous referees for this journal for their insightful, thorough and helpful suggestions.",,,4248
WOS:000334254400010,"I would like to thank Cameron Buckner, Albert Newen, Danny Oppenheimer and two anonymous reviewers for helpful comments on a previous version of this paper. Furthermore, I acknowledge the financial support provided by the Barbara-Wengeler-Foundation during the initial stages of this paper as well as ongoing support from the VW-project “The Social Mind”.",,,4249
WOS:000334254400011,I would like to thank Matthew McGrath for very helpful comments and suggestions on multiple drafts of this paper. I would also like to thank two anonymous reviewers for their helpful suggestions and Zachary Ernst and André Ariew for helpful discussion,,,4250
WOS:000334254400012,"I am deeply indebted to Roger Wertheimer for his obdurate balking at sundry opacities in early drafts of this essay, and grateful to him and to Dagfinn Follesdal, Gilbert Harman, Lars Bergstrom, John Perry, Joshua Brown, Edmund Gettier, Carl Feierabend, Joshua Weisberg and two of this journal’s readers for encouragement and insightful suggestions concerning later drafts.",,,4251
WOS:000334254400013,Thanks to Sorin Bangu and an anonymous referee for very helpful comments.,,,4252
WOS:000334254400014,"For their many helpful suggestions regarding this research, our heartfelt thanks go to Mike Braverman, Bill Brewer, Mark Donahue, Andrew Higgins, Peter Machamer, and Derek Powell. This research was funded by a generous grant from the University of Illinois Campus Research Board and kind assistance from the Beckman Institute for Advanced Science and Technology.",,,4253
WOS:000331718000002,"We thank especially Sharon Berry, Rachael Briggs, Kenny Easwaran, Christopher Hitchcock, Yoaav Isaacs, Ralph Miles, Daniel Nolan, Paolo Santorio, Wolfgang Schwarz, Julia Staffel, and Orri Stefansson for very helpful discussion. One of us (Paul Bartha) also acknowledges support from Australian National University in the form of a Visiting Research Fellowship.",,,4254
WOS:000331718000003,"I am indebted to participants of the final Workshop on the Frontiers of Rationality and Decision conference (2012 August, University of Groningen), especially Jeanne Peijnenburg and Jan-Willem Romeijn for stimulating questions. I am also indebted to Alan Hajek and Nathan Pensler for discussions, and to an anonymous referee for encouraging me to clarify some of the points I made.",,,4255
WOS:000331718000004,"I am grateful to Jim Bogen for comments and for first suggesting that I apply the material approach to the problem of induction; for much stimulating discussion from Peter Achinstein, Thomas Kelly and John Worrall at a symposium at PSA 2008; for discussion by the Center for Philosophy of Science Reading Group, April 12, 2010 (Natalie Gold, Slobodan Perovic, Wolfgang Pietsch, Susan Sterrett, Tad Szubka); and from Anil Gupta.",,,4256
WOS:000331718000005,"I am indebted to Jeanne Peijnenburg, David Atkinson and an anonymous reviewer for helpful discussions on earlier versions of this paper as well as to the Nederlandse Organisatie voor Wetenschappelijk Onderzoek for financial support under the project number 360-20-282.",,,4257
WOS:000331718000006,"This work was financially supported by the Alexander von Humboldt Foundation through a Visiting Fellowship of the Munich Center for Mathematical Philosophy at Ludwig Maximilian University of Munich. I am deeply grateful to Professors Hannes Leitgeb and Stephan Hartmann for very helpful discussions, as well as to Professor Jeanne Peijnenburg and an anonymous referee for many insightful comments that helped to improve the paper substantially.",,,4258
WOS:000334254400001,"I am grateful to two anonymous reviewers of this journal for their helpful advice. I would also like thank Michael Baumgartner, Bill Bechtel, Carl Craver, Eli Dresner, Markus Eronen, Vera Hoffmann-Kolss, Lena Kastner, Oron Shagrir, and Patrice Soom for help at the various stages of this paper.",,,4259
WOS:000332667000001,"I discussed previous versions of this article as invited speaker at the European Science Foundation workshop on the Philosophy of Computer Science and AI (Ponta Delgado, Azores, 7–9 September 2011); the international conference on “Philosophy of Information”, Info-Metrics Institute, American University (Washington D.C., USA, 3 October, 2011); and the Philosophy of Information Workshop, Department of Philosophy and Cognitive Science, Lund University (Lund, Sweden, 9–11 May, 2013). I am indebted to Gregory Wheeler and the ESF; to Amos Golan and the Info-Metrics Institute at AU; to Frank Zenker and Lund University; and to the participants in such meetings for the fruitful opportunity to discuss my ideas and to receive so much helpful feedback. Penny Driscoll kindly copyedited the final version. The two anonymous reviewers of the journal provided many insightful comments and suggestions for improvements and saved me from several shortcomings and obscurities. The article is really much better thanks to them.",,,4260
WOS:000332667000002,The author is grateful to three anonymous readers for comments that have improved this paper.,,,4261
WOS:000332667000003,"Thanks to Walter Edelberg, Bill Hart, and Colin Klein for comments on the early drafts of this paper; thanks to Burkay Ozturk and an anonymous reviewer for remarks on the later ones.",,,4262
WOS:000332667000004,This work was supported by the Irish Research Council via a postdoctoral fellowship. I wrote this paper while visiting the Centre for Philosophy of Natural and Social Science at the London School of Economics and Political Science. I am grateful for their hospitality. I thank three anonymous reviewers for their insightful comments.,,,4263
WOS:000332667000005,"This paper has a long history, and I am grateful to the many people who have influenced it. In particular, I am grateful to Sarah Broadie, who commented in depth on the paper at its very early stages, and audiences at the University of St. Andrews, the Irish Philosophical Club, the University of Geneva, and the College of William and Mary.",,,4264
WOS:000332667000006,"Earlier versions were presented in seminars at Arché, LOGOS, Institute Jean Nicod, and PERSP Metaphysics, and in conferences in Murcia, Ovronnaz, and Rio de Janeiro. Thanks to the audiences in these occasions, and Elizabeth Barnes, Jiri Benovsky, Eline Busck, Oscar Cabaco, Marta Campdelacreu, Ramiro Caso, Pablo Cobreros, Fabrice Correia, Aurelien Darbellay, Esa Diaz-Leon, Richard Dietz, Jose A Diez, Paul Egre, Kit Fine, Manuel Garcia-Carpintero, Jose Gil-Ferez, Mario Gomez-Torrente, Patrick Greenough, Katherine Hawley, Mark Heller, John Horden, Andrea Iacona, Frank Jackson, Carrie Jenkins, Andrew Jorgensen, Philipp Keller, Teresa Marques, Sebastiano Moruzzi, Joan Pages, Manuel Perez Otero, Bryan Pickel, Murali Ramachandran, Marco Rufino, Pablo Rychter, Mark Sainsbury, Roy Sorensen, Stephan Torre, Giuliano Torrengo, Raphael van Riel, Achille Varzi, Robbie Williams, Tim Williamson, Crispin Wright, Elia Zardini, Ezequiel Zerbudis, and anonymous referees. Research has been partially funded by 2009SGR-1077 (Generalitat de Catalunya), FFI2008-06153, FFI2012-35026, and CSD2009-0056 (Gobierno de España), and ITN FP7-238128 (European Community).",,,4265
WOS:000332667000007,"For helpful advice I am grateful to Hallvard Lillehammer, Chris Cowie, Robin McKenna, Nick Hughes, and the participants of a 2013 Cambridge philosophy seminar. This paper was written while I was generously funded by the Social Sciences and Humanities Research Council of Canada.",,,4266
WOS:000332667000008,My thanks go to the anonymous referees for their very helpful comments.,,,4267
WOS:000332667000009,"Thanks to Zoe Drayson, Daniel Nolan, Brett Calcott, Kim Sterelny, Arnon Levy, Gladys Kostyrka and two anonymous reviewers for helpful comments. This paper has been presented in various forms to the philosophy departments of ANU and Sydney University, as well as at the 2012 PSA conference—I am grateful for the feedback received there.",,,4268
WOS:000332667000011,"I am grateful to Sydney’s Centre for the Foundations of Science for supporting this research, and an audience at the University of Sydney for prompting it. I should also like to thank Otavio Bueno, Maureen O’Malley, and several anonymous referees for helpful feedback.",,,4269
WOS:000332667000012,"I would like to thank Duncan Pritchard, Allan Hazlett, the Edinburgh Epistemology Research Group, and the Editors of Synthese for comments and suggestions on earlier versions of this paper. I would also like to thank Barry Stroud for helpful discussion on the issues I raised in this paper. I am especially indebted to Craig French, whose detailed and insightful comments on an early version of this paper helped improve it substantially.",,,4270
WOS:000332667000013,"The author wishes to thank Johan van Benthem and Jouko Vaananen for a number of useful suggestions and insights. Furthermore, he wishes to thank the reviewers for a number of highly useful suggestions and comments.",,,4271
WOS:000332667000014,"I am indebted to David Chalmers, Peter Godfrey-Smith, Gualtiero Piccinini, Eric Rescorla, Mark Sprevak, and two anonymous referees for helpful feedback that greatly improved this paper. My research was supported by a fellowship from the National Endowment for the Humanities. Any views, findings, conclusions, or recommendations expressed in this publication do not necessarily reflect those of the National Endowment for the Humanities.",,,4272
WOS:000332667000015,"Different versions of this paper were presented at the Work In Progress Seminar of the GAF group in Buenos Aires, the II Congresso da Sociedade Brasileira de Filosofia Analítica in Fortaleza (Ceará), and the IV Congreso Iberoamericano de Filosofía in Santiago de Chile. I thank the audiences at those occasions, and specially Justina Diaz-Legaspe, Maite Ezcurdia, Kepa Korta, Nicolas Lo Guercio, Alfonso Losada, Eleonora Orlando and Agustin Rayo for their questions and comments. Special thanks are also due to John MacFarlane, for kindly allowing me to use material from his book draft, and to two anonymous reviewers from Synthese, for their very useful comments and objections. | The research for this paper was made possible through the support of the Consejo Nacional de Investigaciones Científicas y Técnicas (CONICET), in the form of a doctoral scholarship for the years 2012–2014 (Beca Interna de Postgrado Tipo II 2012–2014).",,,4273
WOS:000332667000016,"We would like to thank three anonymous reviewers for very helpful comments. Funding for this study was supported by research grants of Taiwan National Science Council (NSC-100-2410-H-194-085-MY3, NSC-101-2511-S-039-003).",,,4274
WOS:000332667000010,"I would like to thank Armin Schulz, Richard Bradley, Matteo Colombo, Jean-Charles Pelland, Christophe Malaterre, Sebastien Menard and three anonymous referees for their very useful comments on previous versions of the paper.",,,4275
WOS:000335505500001,"I am particularly indebted to Timm Lampert for countless discussions about the topics of this paper and for our common work on logical formalization. Moreover, I thank Wolfgang Spohn, Jochen Briesen, Alexandra Zinke, Brian Leahy and the anonymous referees of this journal for helpful comments on earlier drafts. Finally, the paper has profited from discussions with audiences at two research colloquia at the Humboldt University Berlin and the University of Konstanz.",,,4276
WOS:000335505500003,"For comments and correspondence, I am grateful to E.J. Coffman, Thomas Crisp, William Dyer, Ian Evans, Nathan King, Joshua Rasmussen, Lee Whittington, and two anonymous referees for this journal. I presented an earlier version of this essay at workshop at the University of Edinburgh in June 2013. Thanks to Lee Whittington for organizing the workshop and to those in attendance—especially Peter Graham, Steven Hales, Joe Milburn, Lisa Miracchi, Duncan Pritchard, Wayne Riggs, and Sabine Roeser—for helpful discussion.",,,4277
WOS:000335505500004,0,,,4278
WOS:000335505500005,"Thanks to audiences at the Australian National University and the National University of Singapore for discussion of the paper. Thanks to two anonymous referees for their very helpful feedback. And special thanks to Jens Christian Bjerring, Ben Blumson, Alan Hajek, and Wolfgang Schwarz for their very useful comments on the paper.",,,4279
WOS:000335505500007,"We thank Oron Shagrir and Luciano Floridi for their helpful comments on earlier drafts of this paper. We are grateful to the anonymous referees for their constructive critiques and suggestions that have significantly improved the paper. A preliminary version of this paper was presented at the 2012 CiE Turing Centenary Conference at Cambridge University, Cambridge, U.K. A significant part of this research was conducted while Nir Fresco was a visiting fellow at the School of Humanities & Languages, University of New South Wales, Australia. He gratefully acknowledges their support. The usual disclaimer applies: any remaining mistakes are the sole responsibility of the authors.",,,4280
WOS:000335505500008,"Many thanks to Hilary Putnam, Kaj B. Hansen, Alan Musgrave, Andrew D. Irvine, and to two anonymous reviewers, for helpful feedback on earlier versions of this paper.",,,4281
WOS:000335505500009,0,,,4282
WOS:000335505500010,"An earlier version of this material was presented at the Epistemic Expressivism workshop, Edinburgh University 15–16 October, 2011 organised by Matthew Chrisman and Mike Ridge, and we would like to participants there for comments and helpful suggestions. Also, we are also grateful for comments and suggestions made by anonymous reviewers for this journal.",,,4283
WOS:000335505500011,"Thanks to Christoph Kelp, Jan Heylen, and three anonymous referees for helpful comments and suggestions.",,,4284
WOS:000335505500012,0,,,4285
WOS:000335505500013,"Thanks to Rich Feldman, Kevin McCain, Ed Wierenga, and three anonymous referees for helpful comments on earlier drafts of this paper.",,,4286
WOS:000335505500014,"I pursued research contributing to this paper while being a British Academy Visiting Scholar at Bristol University and I thank British Academy for its support. I am also grateful to my host in Bristol, Oystein Linnebo, whose support has been invaluable. I would also like to express my gratitude to various audiences participating in discussions of earlier versions of this paper.",,,4287
WOS:000335505500015,"I am grateful to those who have commented on various occasions on earlier versions of this paper, in particular, Johan van Benthem, Ali Esmi, Dominik Kauss, Manfred Kupffer, Hannes Leitgeb, Isaac Levi, Oliver Petersen, Hans Rott, Sonja Smets, and Roy Sorensen. Two anonymous referees have commented in uncommon detail and have given me excellent advice which, I hope, I have succeeded in turning into an improved version of the paper.",,,4288
WOS:000335505900001,"We would like to thank Lorenzo Casini, George Darby, Phyllis Illari, Mike Joffe, Federica Russo, and Michael Wilde for their helpful comments on this paper. Jon Williamson’s research is supported by the UK Arts and Humanities Research Council. Bert Leuridan is Postdoctoral Fellow of the Research Foundation—Flanders (FWO).",,,4289
WOS:000335505900002,0,,,4290
WOS:000335505900003,0,,,4291
WOS:000335505900004,0,,,4292
WOS:000335505900005,"I thank the audiences at the Causality in the Sciences (CaitS) conference in Ghent, at the Annual Meeting of the British Society for the Philosophy of Science in Bristol (both in 2011), and at the Department of Philosophy at Aarhus University for their feedback. I also thank Brian Hepburn and Franz Huber for reading earlier versions and for providing helpful comments. I’m particularly indebted to an anonymous referee of this journal for detailed and challenging remarks.",,,4293
WOS:000335505900006,I owe this particular construction of the Sn to an anonymous referee: it is a huge improvement over my original construction.,,,4294
WOS:000335505900007,"This paper grew out of a series of discussions with epistemologists at the University of Nebraska, from whom I learned very much. I thank Adam Thompson, Allison Fritz, Bradley Rettler, Emily Garton, Luke Elwonger, Mark van Roojen, Nicole Dular, Steve Steward, and Steve Swartzer for helpful comments. I’d especially like to thank Landon Hedrick and two anonymous referees for very detailed and helpful comments on previous drafts.",,,4295
WOS:000335505900008,"We would like to thank two anonymous referees, Lena Kastner, and Markus Eronen for their valuable comments and suggestions. We would also like to thank the audience of the Zentrum für interdisziplinäre Forschung workshop ‘Agents and Causes’, and the HPS group of Leiden University’s Institute of Philosophy, for their feedback on a related paper presentation.",,,4296
WOS:000335505900009,"I am especially grateful to Philip Percival for helping me to think through the contents of this paper. I am also thankful to Stephen Barker and Benjamin Smart. Their 2012 article inspired some of what I say in Sect. 3. In addition, I am thankful to Harold Noonan and Jonathan Tallant for their helpful advice. Last but not least, I would like to thank two anonymous referees for their insightful comments.",,,4297
WOS:000335505900010,0,,,4298
WOS:000335505900011,0,,,4299
WOS:000335505900012,0,,,4300
WOS:000335505900013,"We are grateful to John Hawthorne, Lisa Miracchi, Blake Roeber, Ernest Sosa, Kurt Sylvan, Angelo Turri, and to two anonymous referees for helpful feedback. This publication was made possible through the support of a grant from the John Templeton Foundation; the opinions expressed in this publication are those of the authors and do not necessarily reflect the views of the John Templeton Foundation. This research was also supported by the Social Sciences and Humanities Research Council of Canada, the British Academy, the Association of Commonwealth Universities, the National Endowment for the Humanities, and an Ontario Early Researcher Award.",,,4301
WOS:000335505900014,"Thanks to Conor McHugh, Rik Peels, Bob Lockie and two anonymous referees for Synthese for some exceptionally helpful comments on earlier drafts of this paper.",,,4302
WOS:000335505900015,0,,,4303
WOS:000335505900016,0,,,4304
WOS:000335505900017,We would like to thank Elliott Sober and Jim Woodward for helpful discussion. We are grateful to several anonymous reviewers for their valuable feedback.,,,4305
WOS:000335505900018,I am very thankful to John Greco and an anonymous referee for detailed comments on pervious versions of this paper.,,,4306
WOS:000335505500002,Many thanks to two referees for very helpful comments.,,,4307
WOS:000335505500006,"First and foremost, we would like to thank Robert Batterman. We would also like to thank Erik Curiel, Bill Harper, Robert Moir, Chris Pincock, Bryan Roberts, Chris Smeenk, and two anonymous referees for their useful suggestions.",,,4308
WOS:000335506000002,"I thank Lara Buchak, Laura Franklin-Hall, Luciana Garbayo, Sandra Mitchell, Jennifer Nagel, Lisa Parker, Nikolaj Jang Lee Linding Pedersen, Nicholas Rescher, Laura Ruetsche, Kieran Setiya, Ekaterina Vavova, and the participants of the 2012 Orange Beach Epistemology Workshop for helpful comments on earlier versions of this paper.",,,4309
WOS:000335506000003,0,,,4310
WOS:000335506000004,We would like to thank two anonymous referees for their input which led to many significant improvements and clarifications.,,,4311
WOS:000335506000006,"This paper was presented at the universities of Aberdeen, Edinburgh, Nottingham and St Andrews. I am grateful to audience members for some very helpful comments and suggestions, and also to two anonymous referees for this journal.",,,4312
WOS:000335506000001,0,,,4313
WOS:000335506000005,"Research on this paper has been generously funded by the Velux Foundation. I thank participants at these events for patience and helpful comments [in alphabetical order]: Kristoffer Ahlström, Finn Collin, Paul Faulkner, Axel Gelfert, Mikkel Gerken, Sandy Goldberg, Kathrine Hawley, Chris Kelp, Arnon Keren, Jennifer Lackey, Brent Madison, Kirk Michelian, Martin Kusch, Duncan Pritchard, Gloria Orrigi, Ernest Sosa, Nikolaj Jang Lee Linding Pedersen, Shane Ryan, Sebastian Rödl, Chris Thompson, Michael Williams, Frank Zenker.",,,4314
WOS:000337054000001,"The National Center for Atmospheric Research is sponsored by the National Science Foundation and managed by the University Corporation for Atmospheric Research. Vanessa Schweizer completed foundational work for this paper with support from the Link Foundation through an Energy Fellowship and the Climate Decision Making Center (SES-0345798), which was a cooperative agreement between the National Science Foundation and Carnegie Mellon University. She would also like to thank the Consortium for Science, Policy and Outcomes at Arizona State University for hosting a thought-provoking 2009 workshop on scenario plausibility (For more information about the workshop, including essays prepared by participants and recommendations for further reading, see the Consortium (2009).) Elisabeth Lloyd would like to thank Arnold and Maxine Tanis for their generous support. The authors thank Brian O’Neill, Ryan Ketcham, and Linda Mearns for helpful discussions.",,,4315
WOS:000337054000002,Joshua Clegg provided helpful feedback on a previous draft of this article.,,,4316
WOS:000337054000003,0,,,4317
WOS:000337054000004,"The earliest predecessor to this paper was written just over five years ago. Very many people provided very valuable feedback, criticism, and encouragement over the various stages of development the paper has since undergone. I thank all of them, and especially John Divers, Joseph Melia, Howard Peacock, Benjamin Schnieder, Moritz Schulz, Jason Turner, Robbie Williams, as well as three anonymous referees.",,,4318
WOS:000337054000005,"I am grateful to the participants of the Causaproba Research Colloquium at the University of Konstanz, especially Thomas Kroedel, Brian Leahy, and Wolfgang Spohn, as well as to Alan Hajek, Jim Joyce, and Hannes Leitgeb for many helpful comments on earlier versions of this paper. Part of my research was supported by the German Research Foundation through its Emmy Noether program and the Zukunftskolleg of the University of Konstanz.",,,4319
WOS:000337054000006,"Work on this paper was supported by the Austrian Science Fund (FWF Research Grant P21750 and P24615). Earlier versions of this paper were presented at workshops in Munich (February 2012), Tilburg and Konstanz (April 2012). For comments I am grateful to Jeffrey Barrett, Hans-Joachim Dahms, Richard Dawid, Paul Hoyningen-Huene, Walter Hoering, Franz Huber, Theo Kuipers, Christoph Limbeck- Lilienau, Carlos Ulises Moulines, Michael Schorner, and Friedrich Stadler.",,,4320
WOS:000337054000007,"Work of the author was supported by an Opus Magnum grant of the Fritz Thyssen Stiftung, AZ 10.12.5.001.",,,4321
WOS:000337054000008,0,,,4322
WOS:000337054000009,NICTA is funded by the Australian Government through the Department of Communications and the Australian Research Council through the ICT Centre of Excellence Program.,,,4323
WOS:000337054000010,"I would like to thank Monika Gruber for discussions on the Wahrheitsbegriff that have been very helpful to me, in particular because in general we seem to disagree. Furthermore I like to thank the participants of the “Tarski Seminar”, which took place in fall term 2011 and made reading Tarski’s paper a very pleasant activity. Arianna Betti, Hein van den Berg, Lieven Decock, Wim de Jong, Jeroen de Ridder, Stefan Roski and Jeroen Smid have read an earlier version of this paper and given me valuable feedback. I thank the anonymous referees for their suggestions. Work on this paper was made possible by ERC Starting Grant TRANH 203194.",,,4324
WOS:000337054000011,"I would like to thank John Hawthorne, Mark Schroeder, and Julia Staffel for valuable comments on an earlier draft of this paper. Special thanks are due to Kenny Easwaran who provided comments on several drafts of this paper. Of course, any mistakes in the current paper are my own. I would also like to thank the Social Sciences and Humanities Research Council of Canada for financial support during the writing of this paper in the form of a doctoral award, number 752-2010-0298.",,,4325
WOS:000337054000012,"Thank you to the following people for helpful advice and criticism: Greg Restall, Howard Sankey, Brett Calcott, John Wilkins, Anne Hiskes. Thank you also to the two anonymous referees for this journal for helpful suggestions that have improved the paper.",,,4326
WOS:000337054000013,"I would like to thank Juha Saatsi without who’s supervision this work would have not been possible, and Marc Lange for helpful comments, as well as the comments of the editors and referees. This work was supported by the Arts and Humanities Research Council and Templeton Foundation.",,,4327
WOS:000337053600002,"Early versions of this paper have been presented at conferences, respectively workshops, in Bochum (Recent Debates in Epistemology), Lund (CPH LU Workshop on Social Epistemology), and Salzburg (SOPhia 2013) and at the Tilburg Center for Philosophy of Science. We thank the audience for their insightful comments on various versions of the paper. We are also grateful to the MCMP (Munich Center for Mathematical Philosophy) reading-group on social epistemology for fruitful discussion on Jehle and Fitelson’s paper. Special thanks go to Lorenzo Casini, Stephan Hartmann, Albert Newen, Carlo Proietti, Gerhard Schurz, Jan Sprenger, and Frank Zenker. We would also like to thank two anonymous referees for very helpful commentaries on an earlier version of this paper. Anna-Maria A. Eder’s research on this paper was partly funded by a fellowship (Stipendium nach dem Landesgraduiertenförderungsgesetz) sponsored by the State of Baden-Württemberg (Germany). Peter Brossel’s research was supported by a Visiting Fellowship by the Tilburg Center for Philosophy of Science.",,,4328
WOS:000337053600003,"Earlier versions of this paper were presented at the workshop on “Realism, Antirealism, and the Aims of Science” in Trieste (30 June 2012) and at the 5th Copenhagen Lund Workshop on Social Epistemology in Lund (6–7 December 2012). I’d like to thank the participants in those conferences, and in particular Gregor Betz, Jesus Zamora Bonilla, Vincenzo Crupi, Vincent Hendricks, Erik Olsson, Carlo Proietti, and Frank Zenker, for their useful comments. I’m also grateful to Roberto Festa, Theo Kuipers, Gabriella Pigozzi, Luca Tambolo and to two anonymous referees for providing valuable feedback on the first draft of the paper. Support is acknowledged from the Deutsche Forschungsgemeinschaft (priority program “New Frameworks of Rationality”, SPP 1516, grant CR 409/1-1) and from the Italian Ministry of Scientific Research (FIRB project “Structures and Dynamics of Knowledge and Cognition”, Turin unit, D11J12000470001).",,,4329
